233, 233, 233, 232, 231, 233, 229, 210, 215, 230, 233, 231, 233, 233, 233, 233, 233, 233, 233, 233, 233, 233, 233, 233
233, 233, 232, 225, 138, 73, 48, 37, 38, 51, 81, 164, 233, 231, 233, 233, 233, 233, 233, 233, 233, 233, 233, 233
233, 232, 210, 85, 35, 36, 46, 55, 47, 40, 34, 35, 113, 227, 232, 233, 233, 233, 233, 233, 233, 233, 233, 233
232, 233, 71, 36, 33, 108, 127, 95, 93, 92, 70, 34, 37, 87, 233, 232, 233, 233, 233, 233, 233, 233, 233, 233
232, 113, 36, 50, 127, 112, 90, 90, 90, 90, 92, 65, 38, 35, 162, 232, 233, 233, 233, 233, 233, 233, 233, 233
205, 36, 35, 111, 115, 90, 90, 90, 90, 90, 92, 72, 57, 36, 70, 228, 233, 233, 233, 233, 233, 233, 233, 233
169, 36, 64, 129, 87, 90, 90, 90, 90, 90, 92, 71, 68, 34, 36, 189, 230, 233, 233, 233, 233, 233, 233, 233
137, 32, 91, 109, 90, 90, 90, 90, 90, 90, 90, 70, 69, 41, 35, 160, 229, 233, 233, 233, 233, 233, 233, 233
129, 33, 93, 93, 90, 90, 90, 90, 90, 90, 84, 69, 59, 34, 36, 162, 230, 233, 233, 233, 233, 233, 233, 233
154, 33, 70, 92, 90, 90, 90, 90, 90, 90, 72, 65, 35, 34, 127, 232, 233, 233, 233, 233, 233, 233, 233, 233
192, 36, 42, 89, 90, 90, 90, 90, 90, 87, 70, 42, 35, 82, 222, 231, 233, 233, 233, 233, 233, 233, 233, 233
225, 68, 34, 59, 91, 90, 90, 90, 91, 79, 56, 35, 56, 226, 232, 233, 233, 233, 233, 233, 233, 233, 233, 233
230, 170, 36, 32, 71, 90, 90, 90, 88, 67, 32, 36, 147, 230, 233, 233, 233, 233, 233, 233, 233, 233, 233, 233
144, 37, 33, 76, 129, 113, 90, 91, 78, 52, 36, 79, 226, 232, 233, 233, 233, 232, 233, 233, 233, 233, 233, 233
35, 35, 87, 132, 112, 90, 90, 89, 67, 38, 35, 180, 232, 233, 233, 233, 228, 213, 232, 233, 233, 233, 233, 233
34, 105, 132, 108, 89, 90, 90, 74, 51, 34, 55, 228, 232, 233, 233, 230, 140, 60, 220, 229, 233, 233, 233, 233
103, 132, 106, 90, 90, 90, 85, 70, 39, 37, 176, 231, 233, 233, 232, 201, 39, 36, 69, 220, 231, 233, 233, 233
131, 109, 90, 90, 90, 90, 75, 62, 36, 66, 233, 232, 233, 233, 232, 113, 34, 36, 36, 58, 213, 231, 233, 233
115, 89, 90, 90, 90, 82, 68, 42, 35, 121, 233, 233, 233, 230, 194, 36, 36, 83, 37, 37, 74, 233, 231, 233
91, 90, 90, 90, 91, 72, 66, 34, 38, 194, 230, 233, 233, 232, 105, 34, 75, 91, 80, 34, 35, 92, 233, 232
90, 90, 90, 90, 83, 69, 59, 35, 78, 233, 233, 233, 232, 228, 58, 42, 92, 90, 90, 80, 37, 36, 116, 226
90, 90, 90, 89, 69, 70, 47, 34, 138, 232, 233, 233, 231, 167, 34, 58, 90, 90, 90, 89, 71, 33, 34, 163
90, 90, 90, 82, 69, 69, 39, 35, 187, 232, 233, 233, 230, 74, 34, 78, 89, 90, 90, 90, 90, 63, 34, 49
