233, 233, 233, 233, 233, 233, 233, 231, 233, 229, 170, 125, 94, 83, 85, 95, 130, 176, 233, 232, 232, 233, 233, 233, 233, 233, 233, 233
233, 233, 233, 233, 233, 233, 231, 212, 140, 56, 36, 34, 33, 34, 34, 34, 35, 36, 62, 148, 216, 232, 233, 233, 233, 233, 233, 233
233, 233, 233, 233, 232, 231, 193, 50, 35, 31, 39, 76, 106, 104, 88, 72, 56, 36, 35, 35, 53, 211, 230, 233, 233, 233, 233, 233
233, 233, 233, 233, 232, 136, 36, 33, 56, 108, 127, 112, 94, 90, 90, 90, 91, 88, 76, 45, 35, 40, 157, 231, 233, 233, 233, 233
233, 233, 233, 230, 140, 35, 34, 81, 131, 127, 98, 89, 91, 90, 90, 90, 90, 90, 90, 90, 56, 36, 36, 160, 231, 233, 233, 233
233, 233, 232, 203, 38, 35, 100, 131, 125, 88, 91, 90, 90, 90, 90, 90, 90, 90, 90, 89, 89, 52, 36, 46, 227, 232, 233, 233
233, 231, 216, 54, 34, 76, 132, 126, 96, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 80, 47, 34, 67, 225, 232, 233
233, 233, 163, 36, 51, 128, 131, 101, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 68, 39, 35, 177, 231, 233
233, 232, 79, 35, 99, 131, 116, 89, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 91, 74, 54, 36, 104, 232, 233
231, 197, 39, 32, 123, 126, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 76, 65, 35, 48, 221, 232
230, 153, 35, 56, 131, 113, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 79, 68, 37, 36, 180, 229
233, 128, 34, 83, 132, 97, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 80, 69, 45, 35, 156, 229
233, 114, 34, 95, 123, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 78, 69, 49, 35, 145, 231
233, 120, 34, 92, 111, 89, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 91, 74, 69, 47, 35, 151, 231
232, 139, 34, 78, 102, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 91, 70, 69, 41, 36, 166, 229
229, 175, 36, 48, 94, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 79, 69, 67, 35, 38, 205, 231
232, 221, 51, 34, 82, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 87, 69, 69, 61, 35, 77, 233, 232
233, 232, 116, 37, 61, 92, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 73, 69, 70, 45, 34, 144, 232, 233
233, 231, 196, 35, 36, 79, 89, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 73, 69, 69, 58, 34, 37, 207, 231, 233
233, 233, 232, 109, 35, 43, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 84, 70, 69, 69, 67, 38, 39, 151, 231, 233, 233
233, 233, 232, 233, 71, 33, 39, 89, 90, 90, 90, 90, 90, 91, 91, 87, 72, 69, 70, 69, 66, 34, 35, 86, 233, 232, 233, 233
233, 233, 232, 231, 189, 40, 36, 38, 81, 89, 90, 90, 90, 85, 79, 75, 76, 75, 76, 61, 36, 36, 52, 215, 229, 233, 233, 233
233, 232, 227, 182, 63, 34, 37, 83, 94, 90, 90, 90, 90, 90, 91, 91, 91, 91, 91, 86, 52, 35, 35, 78, 193, 230, 232, 233
